String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,Suffix
"Abbott, R. T. (1968). The Helmet shells of the world (Cassidae), Part 1. <em>Indo-pacific Mollusca.</em> 2 (9): 7-201.","Abbott, R. T.",1968,"The Helmet shells of the world (Cassidae), Part 1",,Indo-pacific Mollusca,,,2,9,7-201,,
"Ledoyer, M. (1989). Les Mysidacés (Crustacea) des grottes sous-marines obscures de Méditerranée nord-occidentale et du proche Atlantique (Portugal et Madère). <em>Marine Nature : International Journal on Marine Natural Sciences.</em> 2 (1): 39-62.","Ledoyer, M.",1989,Les Mysidacés (Crustacea) des grottes sous-marines obscures de Méditerranée nord-occidentale et du proche Atlantique (Portugal et Madère),,Marine Nature : International Journal on Marine Natural Sciences,,,2,1,39-62,,
"Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S. (2006). First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia). <em>Aquatic Invasions.</em> 1(4): 198-203.","Verween, A.; Kerckhof, F.; Vincx, M.; Degraer, S.",2006,"First European record of the invasive brackish water clam Rangia cuneata (G.B Sowerby I, 1831) (Mollusca: Bivalvia).",,Aquatic Invasions,,,1,4,198-203,10.3391/ai.2006.1.4.1,
"Friedrich, H. (1937). Polychaetenstudien. I-III. 1. Hesionides arenaria n.sp. n.gen., ein neuer Polychaet aus der Otoplanenzone der Nordsee. 2. Polydora ligni Webster 1880 in der Ostsee. 3. Über einige Klein-Polychaeten von Helgoland. <em>Kieler Meeresforschungen.</em> 1(2): 343-351.","Friedrich, H.",1937,"Polychaetenstudien. I-III. 1. Hesionides arenaria n.sp. n.gen., ein neuer Polychaet aus der Otoplanenzone der Nordsee. 2. Polydora ligni Webster 1880 in der Ostsee. 3. Über einige Klein-Polychaeten von Helgoland.",,Kieler Meeresforschungen,,,1,2,343-351,,
"Lévi, C. (1960). Les démosponges des côtes de France: 1. Les Clathriidae [The Demospongiae of the French coasts: 1. The Clathriidae. <em>Cahiers de Biologie Marine.</em> 1 (1): 47-87.","Lévi, C.",1960,Les démosponges des côtes de France: 1. Les Clathriidae [The Demospongiae of the French coasts: 1. The Clathriidae,,Cahiers de Biologie Marine,,,1,1,47-87,,
"Groves, J. (1881). Notes on plants received. Report. <em>Botanical Society and Exchange Club of the British Isles.</em> 1: 28-42.","Groves, J",1881,Notes on plants received. Report,,Botanical Society and Exchange Club of the British Isles,,,1,,28-42,,
"Mienis, H. K. (2000). Additional finds of an Indo-Pacific bivalve species: <i>Circenita callipyga</i>, on the Mediterranean coast of Israel. <em>Triton.</em> 1: 6-7.","Mienis, H. K.",2000,"Additional finds of an Indo-Pacific bivalve species: <i>Circenita callipyga</i>, on the Mediterranean coast of Israel",,Triton,,,1,,6-7,,
"Kaplan, G. (1958). Premières observations sur les gastrotriches  psammophiles des côtes du Calvados. <em>Archives de zoologie expérimentale et générale.</em> 1: 27-37.","Kaplan, G.",1958,Premières observations sur les gastrotriches  psammophiles des côtes du Calvados.,,Archives de zoologie expérimentale et générale.,,,1,,27-37,,
"Schrijvers, J.; Schallier, R.; Silence, J.; Okondo, J.; Vincx, M. (1997). Interactions between epibenthos and meiobenthos in a high intertidal avicenna marina mangrove forest. <em>Mangroves and Salt Marshes.</em> 1: 137-154.","Schrijvers, J.; Schallier, R.; Silence, J.; Okondo, J.; Vincx, M",1997,Interactions between epibenthos and meiobenthos in a high intertidal avicenna marina mangrove forest,,Mangroves and Salt Marshes,,,1,,137-154,,
"Ivanenko, V.N., D. Defaye & R. Huys. (2005). A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow). <em>Marine Biology Research.</em> 1(3): 233-241.","Ivanenko, V.N., D. Defaye & R. Huys",2005,"A new species of Ambilimbus nom. nov., a replacement name for Amphicrossus Huys, 1991 (Copepoda, Cyclopoida, Erebonasteridae), from the Mid-Atlantic Ridge at 36°N (hydrothermal vent site Rainbow)",,Marine Biology Research,,,1,3,233-241,10.1080/17451000510019097,
"Martinelli, M.; Milella, I.; Lardicci, C. (1992). <i>Prionospio (Apoprionospio) pygmaea</i> Hartman, (Polychaeta, Spionidae): Première signalisation en Méditerranée. <em>Marine Life.</em> 1(1): 17-20.","Martinelli, M.; Milella, I.; Lardicci, C.",1992,"<i>Prionospio (Apoprionospio) pygmaea</i> Hartman, (Polychaeta, Spionidae): Première signalisation en Méditerranée",,Marine Life,,,1,1,17-20,,
"Rayss, T. (1963). Sur la présence dans la Méditerranée orientale des algues tropicales de la famille des Solieriacées. <em>Acta Botanica Horti Bucurestiensis.</em> 1: 91-106.","Rayss, T.",1963,Sur la présence dans la Méditerranée orientale des algues tropicales de la famille des Solieriacées,,Acta Botanica Horti Bucurestiensis,,,1,,91-106,,
"Abbott, R. T. (1961). The genus <i>Lambis</i> in the Indo-Pacific. <em>Indo-pacific Mollusca.</em> 1 (3): 147-174.","Abbott, R. T.",1961,The genus <i>Lambis</i> in the Indo-Pacific,,Indo-pacific Mollusca,,,1,3,147-174,,
"Abd-Elnaby, F. A. (2009). New records of Polychaetes from the south part of Suez Canal, Egypt. <em>World J. Fish Mar. Sci.</em> 1(1): 7-19.","Abd-Elnaby, F. A.",2009,"New records of Polychaetes from the south part of Suez Canal, Egypt",,World J. Fish Mar. Sci.,,,1,1,7-19,,
"Kunz, H. (1936). Neue Harpacticoiden (Crustacea Copepoda) von Helgoland (Vorlaufige Mitteilung). <em>Kieler Meeresforschungen.</em> 1: 352-358.","Kunz, H.",1936,Neue Harpacticoiden (Crustacea Copepoda) von Helgoland (Vorlaufige Mitteilung),,Kieler Meeresforschungen,,,1,,352-358,,
"Soetaert, K., M. Vincx, J. Wittoeck & M. Tulkens. (1995). Meiobenthic distribution and nematode community structure in five European estuaries. Hydrobiologia 311(1-3):185-206.","Soetaert, K., M. Vincx, J. Wittoeck & M. Tulkens",1995,Meiobenthic distribution and nematode community structure in five European estuaries.,,Hydrobiologia,,,311,1-3,185-206,,
"Schrijvers, J.; Camargo, M.G.; Pratiwi, R.; Vincx, M. (1998). The infaunal macrobenthos under east African Ceriops tagal mangroves impacted by epibenthos. <em>J. Exp. Mar. Biol. Ecol.</em> 222(1-2): 175-193.","Schrijvers, J.; Camargo, M.G.; Pratiwi, R.; Vincx, M.",1998,The infaunal macrobenthos under east African Ceriops tagal mangroves impacted by epibenthos,,J. Exp. Mar. Biol. Ecol.,,,222,1-2,175-193,,
"Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T. (2006). Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida). <em>Genetica.</em> 128(1-3): 307-321.","Derycke, S.; Backeljau, T.; Vlaeminck, C.; Vierstraete, A.; Vanfleteren, J.; Vincx, M.; Moens, T.",2006,Seasonal dynamics of population genetic structure in cryptic taxa of the Pellioditis marina complex (Nematoda: Rhabditida),,Genetica,,,128,1-3,307-321,10.1007/s10709-006-6944-0,
"Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S. (2008). Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna. <em>Fisheries Research.</em> 90(1-3): 209-216.","Rabaut, M.; Braeckman, U.; Hendrickx, F.; Vincx, M.; Degraer, S.",2008,Experimental beam-trawling in Lanice conchilega reefs: Impact on the associated fauna,,Fisheries Research,,,90,1-3,209-216,10.1016/j.fishres.2007.10.009,
"Williams, D.M. (1989). Cavitatus D.M. Williams, nov. gen.: A new genus of fossil diatom (Bacillariophyta) based on Synedra jouseana Sheshukova-Poretskaya. Review of Palaeobotany and Palynology, 58(2-4): 357-362","Williams, D.M.",1989,"Cavitatus D.M. Williams, nov. gen.: A new genus of fossil diatom (Bacillariophyta) based on Synedra jouseana Sheshukova-Poretskaya.",,Review of Palaeobotany and Palynology,,,58,2-4,357-362,,
"Zagami, G., G. Costanzo & N. Crescenti. (2005). First record in Mediterranean Sea and redescription of the bentho-planktonic calanoid copepod species Pseudocyclops xiphophorus Wells, 1967. <em>Journal of Marine Systems.</em> 55(1-2): 67-76.","Zagami, G., G. Costanzo & N. Crescenti",2005,"First record in Mediterranean Sea and redescription of the bentho-planktonic calanoid copepod species Pseudocyclops xiphophorus Wells, 1967.",,Journal of Marine Systems,,,55,1-2,67-76,10.1016/j.jmarsys.2004.07.018,
"Dekkers, A. M. (2013). Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines. <em>Gloria Maris.</em> 52(3-4): 92-97.","Dekkers, A. M.",2013,Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines,,Gloria Maris,,,52,3-4,92-97,,
"Hyams, O.; Almogi-Labin, A.; Benjaminia, C. (2002). Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel. <em>Israel Journal of Earth Sciences.</em> 51(3-4): 169-179.","Hyams, O.; Almogi-Labin, A.; Benjaminia, C.",2002,Larger foraminifera of the southeastern Mediterranean shallow continental shelf off Israel,,Israel Journal of Earth Sciences,,,51,3-4,169-179,10.1560/qae1-ktee-2k2l-qpch,
"Hoffman, L.; Van Heugten, B.; Dekker, H. (2006). Marine Mollusca collected during a journey to the Great Bitter Lake (Suez Canal) and Nile Delta, Egypt. <em>Gloria Maris.</em> 45(1-2): 30-45.","Hoffman, L.; Van Heugten, B.; Dekker, H.",2006,"Marine Mollusca collected during a journey to the Great Bitter Lake (Suez Canal) and Nile Delta, Egypt",,Gloria Maris,,,45,1-2,30-45,,
"Lamprell, K.L. (1998). Recent Spondylus species from the Middle East and adjacent regions, with the description of two new species. <em>Vita Marina.</em> 45(1-2): 41-60.","Lamprell, K.L.",1998,"Recent Spondylus species from the Middle East and adjacent regions, with the description of two new species",,Vita Marina,,,45,1-2,41-60,,
"Buzzurro, G.; Hoarau, A.; Greppi, E.; Pelorce, J. (2001). Prima segnalazione di <i>Hinemoa cylindrica</i> (de Folin, 1879) per il Mediterraneo. <em>Bollettino Malacologico.</em> 37(1-4):  23-26.","Buzzurro, G.; Hoarau, A.; Greppi, E.; Pelorce, J.",2001,"Prima segnalazione di <i>Hinemoa cylindrica</i> (de Folin, 1879) per il Mediterraneo",,Bollettino Malacologico,,,37,1-4,23-26,,
"Mostafawi, N. (2003). Recent ostracods from the Persian gulf. <em>Senckenbergiana maritima.</em> 32(1-2): 51-75.","Mostafawi, N.",2003,Recent ostracods from the Persian gulf,,Senckenbergiana maritima,,,32,1-2,51-75,10.1007/bf03043085,
"Engl, W. (1995). Specie prevalentemente lessepsiane attestate lungo le coste turche. <em>Bollettino Malacologico.</em> 31(1-4): 43-50.","Engl, W.",1995,Specie prevalentemente lessepsiane attestate lungo le coste turche,,Bollettino Malacologico,,,31,1-4,43-50,,
"Cecalupo, A.; Quadri, P. (1994). Contributo alla conoscenza malacologica per il nord dell' isola di Cipro. <em>Bollettino Malacologico.</em> 30(1-4): 5-16.","Cecalupo, A.; Quadri, P.",1994,Contributo alla conoscenza malacologica per il nord dell' isola di Cipro,,Bollettino Malacologico,,,30,1-4,5-16,,
"Li, J.; Vincx, M. (1993). The temporal variation of intertidal nematodes in the Westerschelde. I. The importance of an estuarine gradient. <em>Netherlands Journal of Aquatic Ecology.</em> 27 (2-4): 319-326.","Li, J.; Vincx, M.",1993,The temporal variation of intertidal nematodes in the Westerschelde. I. The importance of an estuarine gradient,,Netherlands Journal of Aquatic Ecology,,,27,2-4,319-326,,
"Heip, C., R. Huys, M. Vincx, A. Vanreusel, N. Smol, R. Herman & P. Herman. (1990). Composition, distribution, biomass and production of North Sea meiofauna. <em>Netherlands Journal of Sea Research.</em> 26(2-4): 333-342.","Heip, C., R. Huys, M. Vincx, A. Vanreusel, N. Smol, R. Herman & P. Herman",1990,"Composition, distribution, biomass and production of North Sea meiofauna.",,Netherlands Journal of Sea Research,,,26,2-4,333-342,10.1016/0077-7579(90)90095-x,
"Piani, P.; Brini, E. (1984). Prima segnalazione Mediterranea di <i>Tornus jullieni</i> Adam Knudsen, 1969. <em>Bollettino Malacologico.</em> 20(1-4): 89-90.","Piani, P.; Brini, E.",1984,"Prima segnalazione Mediterranea di <i>Tornus jullieni</i> Adam Knudsen, 1969",,Bollettino Malacologico,,,20,1-4,89-90,,
"van Aartsen, J. J.; Carrozza, F. (1979). <i>Chrysallida fischeri</i> (Hornung & Mermod, 1925): a Red Sea species found at the Israeli mediterranean coast. <em>Bollettino Malacologico.</em> 15(1-2): 29-30.","van Aartsen, J. J.; Carrozza, F.",1979,"<i>Chrysallida fischeri</i> (Hornung & Mermod, 1925): a Red Sea species found at the Israeli mediterranean coast",,Bollettino Malacologico,,,15,1-2,29-30,,
"Mienis, H. K. (1976). <i>Ventomnestia girardi</i> Audouin, 1827 from the Mediterranean. <em>Conchiglie.</em> 12(9-10): 209-210.","Mienis, H. K.",1976,"<i>Ventomnestia girardi</i> Audouin, 1827 from the Mediterranean",,Conchiglie,,,12,9-10,209-210,,
"Thomas, P.A. (1970). Studies on Indian sponges-VII. Two new records and a new species of the genus <i>Plakina</i> Schulze (Carnosida: Halinidae) from the Indian region. <em>Journal of the Marine Biological Association of India.</em> 12(1-2): 51-56.","Thomas, P.A.",1970,Studies on Indian sponges-VII. Two new records and a new species of the genus <i>Plakina</i> Schulze (Carnosida: Halinidae) from the Indian region.,,Journal of the Marine Biological Association of India,,,12,1-2,51-56,,
"Houart, R. & Tröndlé, J. (2008). Update of Muricidae (excluding Coralliophilinae) from French Polynesia with description of ten new species. <em>Novapex.</em> 9 (2-3): 53-93.","Houart, R. & Tröndlé, J.",2008,Update of Muricidae (excluding Coralliophilinae) from French Polynesia with description of ten new species,,Novapex,,,9,2-3,53-93,,
"Fischthal, J. H. (1980). Some Digenetic Trematodes of Marine Fishes from Israel's Mediterranean Coast and Their Zoogeography, Especially Those from Red Sea Immigrant Fishes. <em>Zoologica Scripta.</em> 9(1-4): 11-23.","Fischthal, J. H.",1980,"Some Digenetic Trematodes of Marine Fishes from Israel's Mediterranean Coast and Their Zoogeography, Especially Those from Red Sea Immigrant Fishes",,Zoologica Scripta,,,9,1-4,11-23,10.1111/j.1463-6409.1980.tb00647.x,
Vilvens C. & Héros V. (2003). Description of <i>Herpetopoma eboreum</i> n.sp. (Gastropoda : Trochidae: Eucyclinae: Chilodoniini) from New Caledonia. <em>Novapex.</em> 4(2-3): 61-65.,Vilvens C. & Héros V.,2003,Description of <i>Herpetopoma eboreum</i> n.sp. (Gastropoda : Trochidae: Eucyclinae: Chilodoniini) from New Caledonia.,,Novapex,,,4,2-3,61-65,,
"Houart, R. (2000). Description of two new species of <i>Chicoreus</i> (<i>Siratus</i>) (Gastropoda, Muricidae) from Honduras and Nicaragua. <em>Novapex.</em> 1 (3-4): 75-82.","Houart, R.",2000,"Description of two new species of <i>Chicoreus</i> (<i>Siratus</i>) (Gastropoda, Muricidae) from Honduras and Nicaragua",,Novapex,,,1,3-4,75-82,,
"Barnard, K.H. (1950). Descriptive catalogue of South African decapod Crustacea (crabs and shrimps). <em>Annals of the South African Museum.</em> 38: 1-837.","Barnard, K.H.",1950,Descriptive catalogue of South African decapod Crustacea (crabs and shrimps),,Annals of the South African Museum,,,38,,1-837,,
"Sars, G. O. (1885). Report on the Schizopoda collected by H.M.S. Challenger during the years 1873-1876. <em>Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology.</em> 13 (part 37): 1-228, pl. 1-38.","Sars, G. O.",1885,Report on the Schizopoda collected by H.M.S. Challenger during the years 1873-1876.,,Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology,,,13,part 37,"1-228, pl. 1-38",,
"Çevik, C.; Öztürk, B.; Buzzuro, G. (2001). The presence of <i>Crassostrea virginica</i> (Gmelin, 1791) and <i>Saccostrea commercialis</i> (Iredale & Roughley, 1933) in the Eastern Mediterranean Sea. <em>La Conchiglia.</em> 298: 25-28.","Çevik, C.; Öztürk, B.; Buzzuro, G.",2001,"The presence of <i>Crassostrea virginica</i> (Gmelin, 1791) and <i>Saccostrea commercialis</i> (Iredale & Roughley, 1933) in the Eastern Mediterranean Sea",,La Conchiglia,,,298,,25-28,,
"Leloup, E. (1934). Contributions à l'étude de la faune belge: 4. Les Polyplacophores de la côte belge [Contributions to the study of the Belgian fauna: 4. The Polyplacophora of the Belgian coast]. <em>Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België.</em>","Leloup, E.",1934,Contributions à l'étude de la faune belge: 4. Les Polyplacophores de la côte belge [Contributions to the study of the Belgian fauna: 4. The Polyplacophora of the Belgian coast],,Bulletin du Musée Royal d'Histoire Naturelle de Belgique - Mededeelingen van het Koninklijk Natuurhistorisch Museum van België,,,,,,,
"Caraus, I. (2012). Algae of Romania. A distributional checklist of actual algae. Third revision 2012. Studii si Cercetari Stiintifice Universitatea Bacau. <em>Seria Biologie, 7. Universitate Bacau: Bacau. 809.</em>","Caraus, I.",2012,Algae of Romania. A distributional checklist of actual algae. Third revision 2012. Studii si Cercetari Stiintifice Universitatea Bacau,,"Seria Biologie, 7. Universitate Bacau: Bacau. 809",,,,,,,
"Koeman R.P.T. ; van den Hoek, C. (1982). The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha. <em>Arch. Hydrobiol. Suppl.</em> 63(32): 279-330.","Koeman R.P.T. ; van den Hoek, C.",1982,"The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha",,Arch. Hydrobiol. Suppl.,,,63,32,279-330,,
"Ahn, K. (2006). Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae). The Coleopterists Bulletin. 60(1): 36-36.","Ahn, K.",2006,Replacement Name for the Genus Moorea Ahn (Coleoptera: Staphylinidae),,The Coleopterists Bulletin,,,60,1,36-36,10.1649/878.1,
"Blome, D. (1974). Zur systematik von Nematoden aus dem Sandstrand der Nordseeinsel Sylt. <em>Mikrofauna Meeresbodens.</em> 33: 77-99.","Blome, D.",1974,Zur systematik von Nematoden aus dem Sandstrand der Nordseeinsel Sylt,,Mikrofauna Meeresbodens,,,33,,77-99,,
"Zariquiey Álvarez, R. (1968). Crustáceos Decápodos ibéricos. <em>Investigación Pesquera, Barcelona.</em> 32: 1-510.","Zariquiey Álvarez, R.",1968,Crustáceos Decápodos ibéricos,,"Investigación Pesquera, Barcelona",,,32,,1-510,,
