String,Authors,Year,Title,Series,Suffix,DOI
"Shadrin, N. V.; Mironov, S. S.; Golikov, A. N. (2002). A finding of the alive <i>Neptunea arthritica</i> (Bernardi, 1857) (Gastropoda, Buccinidae) in the Black Sea. <em>Ekologiya Morya.</em> 62: 29 (in Russian).","Shadrin, N. V.; Mironov, S. S.; Golikov, A. N.",2002,"A finding of the alive <i>Neptunea arthritica</i> (Bernardi, 1857) (Gastropoda, Buccinidae) in the Black Sea",Ekologiya Morya,62: 29 (in Russian),
"Bon, M. (1979). Novitates - Taxons nouveaux. <em>Documents Mycologiques.</em> 10(37-38): 89-92.","Bon, M.",1979,Novitates - Taxons nouveaux,Documents Mycologiques,10(37-38): 89-92,
"Hostens, K.; Mees, J. (1999). The mysid-feeding guild of demersal fishes in the brackish zone of the Westerschelde estuary. <em>Journal of Fish Biology.</em> 55(4): 704-719.","Hostens, K.; Mees, J.",1999,The mysid-feeding guild of demersal fishes in the brackish zone of the Westerschelde estuary,Journal of Fish Biology,55(4): 704-719,10.1006/jfbi.1999.1026
"Sartoni, G.; Boddi, S. (1993). Apoglossum gregarium (Delesseriaceae, Rhodophyta), a New Record for Mediterranean Algal Flora. Botanica Marina. 36: 297-302.","Sartoni, G.; Boddi, S.",1993,"Apoglossum gregarium (Delesseriaceae, Rhodophyta), a New Record for Mediterranean Algal Flora",Botanica Marina,36: 297-302.,10.1515/botm.1993.36.4.297
"Rayss, T. (1941). Sur les Caulerpes de la cote Palestinienne. <em>Palestine Journal of Botany II.</em> 103-124.","Rayss, T.",1941,Sur les Caulerpes de la cote Palestinienne,Palestine Journal of Botany II,103-124,
"Verloove, F. (2006). Catalogue of neophytes in Belgium (1800-2005). <em>Scripta Botanica Belgica.</em> 39. National Botanic Garden of Belgium: Meise. ISBN 90-72619-71-4. 89 pp.","Verloove, F.",2006,Catalogue of neophytes in Belgium (1800-2005).,Scripta Botanica Belgica,39. National Botanic Garden of Belgium: Meise. ISBN 90-72619-71-4. 89 pp.,
"Vincx, M. (1996). Meiofauna in marine and freshwater sediments. <em>In: Hall, G.S. (ed.). Methods for the examination of organismal diversity in soils and sediments. CAB International, Wallingford, Oxfordshire, United Kingdom.</em> 187-195.","Vincx, M.",1996,Meiofauna in marine and freshwater sediments.,"In: Hall, G.S. (ed.). Methods for the examination of organismal diversity in soils and sediments. CAB International, Wallingford, Oxfordshire, United Kingdom",187-195.,
"Beneden, P.J. van. (1861). Recherches sur les Crustacés du littoral de Belgique. <em>Memoires de l'Academie royale des sciences de Belgique.</em> 33:1-180, pls. 1-31.","Beneden, P.J. van",1861,Recherches sur les Crustacés du littoral de Belgique,Memoires de l'Academie royale des sciences de Belgique,"33:1-180, pls. 1-31.",
"Cobb, N. A. (1891). Onyx and Dipeltis: new Nematode Genera, with a note on Dorylaimus. <em>Proceedings of the Linnean Society of New South Wales.</em> 2(6): 143-158.","Cobb, N. A.",1891,"Onyx and Dipeltis: new Nematode Genera, with a note on Dorylaimus",Proceedings of the Linnean Society of New South Wales.,2(6): 143-158,
"Harmelin, J.-G. (1976). Le sous-ordre des Tubuliporina (Bryozoaires Cyclostomes) en Méditerranée. Ecologie et systématique. <em>Mémoires de l'Institut océanographique, Monaco.</em> 326 pp.","Harmelin, J.-G.",1976,Le sous-ordre des Tubuliporina (Bryozoaires Cyclostomes) en Méditerranée. Ecologie et systématique,"Mémoires de l'Institut océanographique, Monaco",326 pp.,
"John, C.C. (1931). Cephalodiscus. <em>Discovery Reports, III. University Press: Cambridge.</em> 223-260, plates XXXIII-XXXVIII pp.","John, C.C.",1931,Cephalodiscus,"Discovery Reports, III. University Press: Cambridge","223-260, plates XXXIII-XXXVIII pp.",
"Laubier, L. (1966). Le coralligène des Albères. Monographie biocénotique. <em>Annales de l'Institut Océanographique, Monaco, Nouvelle Série.</em> 43:137-316, figs. 1-12, plates I-VI, maps 1-2.","Laubier, L.",1966,Le coralligène des Albères. Monographie biocénotique.,"Annales de l'Institut Océanographique, Monaco, Nouvelle Série","43:137-316, figs. 1-12, plates I-VI, maps 1-2.",
"Schimkéwitch, W. (1893). Sur les relations génétiques de Métazoaires. <em>in: (1892-1893). Congres International de Zoologie. Procès-verbaux: 2. session, à Moscou, du 10/22-18/30 août 1892.</em> 215-240.","Schimkéwitch, W.",1893,Sur les relations génétiques de Métazoaires,"in: (1892-1893). Congres International de Zoologie. Procès-verbaux: 2. session, à Moscou, du 10/22-18/30 août 1892.",215-240,
"Van Aartsen, J. J. (2009). Indo-Pacific migrants into the Mediterranean. <i>Monotigma fulva</i> (A. Adams, 1853) (Gastropoda, Opisthobranchia, Pyramidellidae). <em>Basteria.</em> 73: 97-98, 2009.","Van Aartsen, J. J.",2009,"Indo-Pacific migrants into the Mediterranean. <i>Monotigma fulva</i> (A. Adams, 1853) (Gastropoda, Opisthobranchia, Pyramidellidae)",Basteria,"73: 97-98, 2009.",
"Huys, R. (1990). A new family of harpacticoid copepods and an analysis of the phylogenetic relationships within the Laophontoidea T. Scott. Bijdragen tot de Dierkunde 60(2):79-120, figs. 1-18.","Huys, R.",1990,A new family of harpacticoid copepods and an analysis of the phylogenetic relationships within the Laophontoidea T. Scott.,Bijdragen tot de Dierkunde,"60(2):79-120, figs. 1-18.",
"Conroy-Dalton, S. & R. Huys. (1999). New genus of Aegisthidae (Copepoda: Harpacticoida) from hydrothermal vents on the Galapagos Rift. Journal of Crustacean Biology 19(2):408-431. (v.1999)","Conroy-Dalton, S. & R. Huys",1999,New genus of Aegisthidae (Copepoda: Harpacticoida) from hydrothermal vents on the Galapagos Rift.,Journal of Crustacean Biology,19(2):408-431. (v.1999),
"Lehnert, H.; Stone, R.; Heimler, W. (2006). New species of Poecilosclerida (Demospongiae, Porifera) from the Aleutian Islands, Alaska, USA. <em>Zootaxa.</em> 1155: 1-23.","Lehnert, H.; Stone, R.; Heimler, W.",2006,"New species of Poecilosclerida (Demospongiae, Porifera) from the Aleutian Islands, Alaska, USA",Zootaxa,1155: 1-23,
"Vacelet, J.; Pérez, T. (1998). Two new genera and species of sponges (Porifera, Demospongiae) without skeleton from a Mediterranean cave. <em>Zoosystema.</em> 20 (1): 5-22.","Vacelet, J.; Pérez, T.",1998,"Two new genera and species of sponges (Porifera, Demospongiae) without skeleton from a Mediterranean cave.",Zoosystema,20 (1): 5-22,
"Durieu, M.C. (1846). Atlas de la flore d'Algerie ou illustrations d'un grand nombre de plantes nouvelles ou rares de ce pays. <em>Imprimerie Nationale: Paris.</em> 39 pp + 90 pl.","Durieu, M.C.",1846,Atlas de la flore d'Algerie ou illustrations d'un grand nombre de plantes nouvelles ou rares de ce pays,Imprimerie Nationale: Paris,39 pp + 90 pl.,
"Fautin, D. G. (2016). Catalog to families, genera, and species of orders Actiniaria and Corallimorpharia (Cnidaria: Anthozoa). <em>Zootaxa.</em> 4145(1): 1-449.","Fautin, D. G.",2016,"Catalog to families, genera, and species of orders Actiniaria and Corallimorpharia (Cnidaria: Anthozoa)",Zootaxa,4145(1): 1-449,10.11646/zootaxa.4145.1.1
"Maria, T. F.; Esteves, A. M.; Smol, N.; Vanreusel, A.; Decraemer, W. (2009). Chromaspirina guanabarensis sp. n.(Nematoda: Desmodoridae) and a new illustrated dichotomous key to Chromaspirina species. <em>Zootaxa.</em> 2092: 21-36.","Maria, T. F.; Esteves, A. M.; Smol, N.; Vanreusel, A.; Decraemer, W.",2009,Chromaspirina guanabarensis sp. n.(Nematoda: Desmodoridae) and a new illustrated dichotomous key to Chromaspirina species,Zootaxa,2092: 21-36,
"Golani, D. (1987). The Red Sea Pufferfish, <i>Torquigener fiavimaculosus</i> Hardy & Randall 1983, a New Suez Canal Migrant to the Eastern Mediterranean. <em>Senckenbergiana maritima.</em> 19(5/6): 339-343.","Golani, D.",1987,"The Red Sea Pufferfish, <i>Torquigener fiavimaculosus</i> Hardy & Randall 1983, a New Suez Canal Migrant to the Eastern Mediterranean.",Senckenbergiana maritima,19(5/6): 339-343.,
"Collareta, A.; Perreault, R. T.; Buckeridge, J. S.; Coletti, G.; Kočí, T.; Jones, D. S.; Bosselaers, M.; Newman, W. A. (2020). Taxonomic databases should reflect, and not substitute, published scientific literature and community consensus: some observations on WoRMS and barnacles. <em>Integrative Zoology.</em>","Collareta, A.; Perreault, R. T.; Buckeridge, J. S.; Coletti, G.; Kočí, T.; Jones, D. S.; Bosselaers, M.; Newman, W. A.",2020,"Taxonomic databases should reflect, and not substitute, published scientific literature and community consensus: some observations on WoRMS and barnacles",Integrative Zoology,,10.1111/1749-4877.12472
"Costa P.M.S. &  Absalão R.S. (1998). <i>Nassarina thetys</i> sp. nov. (Neogastropoda: Cobunbellidae), a new  species from the Brazilian coast. <em>Basteria.</em> 62 (5-6): 277-285.",Costa P.M.S. &  Absalão R.S.,1998,"<i>Nassarina thetys</i> sp. nov. (Neogastropoda: Cobunbellidae), a new  species from the Brazilian coast",Basteria,62 (5-6): 277-285,
"Sars, G.O. (1885). Crustacea. I. <em>Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6.</em> 14:1-280, pls. 1-21, map 1. [Copepods 234-240].","Sars, G.O.",1885,Crustacea. I.,"Den Norske Nordhavs-Expedition, 1876-1878 (Norwegian North Atlantic Expedition 1876-1878), Zoology 6","14:1-280, pls. 1-21, map 1. [Copepods 234-240]",
"Forest, J.; de Saint Laurent, M. (1981). La morphologie externe de Neoglyphea inopinata, espèce actuelle de Crustacé Décapode Glyphéide. <em>in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: pp. 51-84.","Forest, J.; de Saint Laurent, M.",1981,"La morphologie externe de Neoglyphea inopinata, espèce actuelle de Crustacé Décapode Glyphéide","in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: pp. 51-84,
"Dinet, A.; Vivier, M.-H. (1979). Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique. <em>Cahiers de Biologie Marine.</em> 20(1): 109-123.","Dinet, A.; Vivier, M.-H.",1979,Le méiobenthos abyssal du Golfe de Gascogne 2. Les peuplements de nématodes et leur diversité spécifique,Cahiers de Biologie Marine,20(1): 109-123,
"Müller, G.W. (1906). Ostracoden. Résultats du Voyage du S.Y. Belgica en 1897-1898-1899 sous le commandement de A. de Gerlache de Gomery. <em>Rapports Scientifiques (1901-1913), Zoologie.</em> Buschmann: Anvers. 7, I plate pp.","Müller, G.W.",1906,Ostracoden. Résultats du Voyage du S.Y. Belgica en 1897-1898-1899 sous le commandement de A. de Gerlache de Gomery,"Rapports Scientifiques (1901-1913), Zoologie","Buschmann: Anvers. 7, I plate pp.",
"Azémar, F.; Van Damme, S.; Meire, P.; Tackx, M. (2007). New occurrence of Lecane decipiens (Murray, 1913) and some other alien rotifers in the Schelde estuary (Belgium). <em>Belg. J. Zool.</em> 137(1): 75-83.","Azémar, F.; Van Damme, S.; Meire, P.; Tackx, M.",2007,"New occurrence of Lecane decipiens (Murray, 1913) and some other alien rotifers in the Schelde estuary (Belgium)",Belg. J. Zool.,137(1): 75-83,
"Kropp, R.K.; Manning, R.B. (1996). Crustacea Decapoda: Two new genera and species of deep water gall crabs from the Indo-west Pacific (Cryptochiridae). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 168: 531-539.","Kropp, R.K.; Manning, R.B.",1996,Crustacea Decapoda: Two new genera and species of deep water gall crabs from the Indo-west Pacific (Cryptochiridae),"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 15. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",168: 531-539,
"Leloup, E. (1945). A propos de certains chitons du genre Tonicella, Carpenter, 1873. <em>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.</em> 21(4): 1-15.","Leloup, E.",1945,"A propos de certains chitons du genre Tonicella, Carpenter, 1873",Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg.,21(4): 1-15,
"Smirnov, S.S. (1935). Zur Systematik der Copepoden-Familie Cyclopinidae G.O. Sars. Zoologischer Anzeiger 109(7-8):203-210, figs. 1-11. (15-ii-1935)","Smirnov, S.S.",1935,Zur Systematik der Copepoden-Familie Cyclopinidae G.O. Sars.,Zoologischer Anzeiger,"109(7-8):203-210, figs. 1-11. (15-ii-1935)",
"Franco, M.; Steyaert, M.; Cabral, H.; Tenreiro, R.; Chambel, L.; Vincx, M.; Costa, M.; Vanaverbeke, J. (2008). Impact of discards of beam trawl fishing on the nematode community from the Tagus estuary (Portugal). <em>Marine Pollution Bulletin.</em> 56(10): 1728-1736.","Franco, M.; Steyaert, M.; Cabral, H.; Tenreiro, R.; Chambel, L.; Vincx, M.; Costa, M.; Vanaverbeke, J.",2008,Impact of discards of beam trawl fishing on the nematode community from the Tagus estuary (Portugal),Marine Pollution Bulletin,56(10): 1728-1736,10.1016/j.marpolbul.2008.07.003
"Clark, A. H. (1954). Records of Indo-Pacific Echinoderms. <em>Pacific Science.</em> 3: 243-263.","Clark, A.H.",1954,Records of Indo-Pacific Echinoderms,Pacific Science,3: 243-263,
"Heip, C., R.M. Warwick, M.R. Carr, P.M.J. Herman, R. Huys, N. Smol & K. van Holsbeke. (1988). Analysis of community attributes of the benthic meiofauna of Frierfjord/Langesundfjord. <em>Marine Ecology Progress Series.</em> 46:171-180, figs. 1-16, tab. 1. (30.vi.1988).","Heip, C., R.M. Warwick, M.R. Carr, P.M.J. Herman, R. Huys, N. Smol & K. van Holsbeke",1988,Analysis of community attributes of the benthic meiofauna of Frierfjord/Langesundfjord.,Marine Ecology Progress Series,"46:171-180, figs. 1-16, tab. 1. (30.vi.1988)",
"Tavares, M. (1997). Crustacea Decapoda: Cyclodorippidae récoltés dans l'archipel de Vanuatu (Brachyura). <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176: 261-270.","Tavares, M.",1997,Crustacea Decapoda: Cyclodorippidae récoltés dans l'archipel de Vanuatu (Brachyura),"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",176: 261-270,
"Düben, M.W. von; Koren, J. (1846). Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata]. <em>Kungl. Svenska Vetenskapsakademiens Handlingar 1844.</em> 229-328, plates VI-XI.","Düben, M.W. von; Koren, J.",1846,Öfversigt af Skandinaviens Echinodermer [Overview of Scandinavian Echinodermata],Kungl. Svenska Vetenskapsakademiens Handlingar 1844,"229-328, plates VI-XI",
"Gilson, G. (1906). Recherches sur les deux Pseudocuma de la Mer Flamande: P. longicornis Spence Bate et P. similis G.-O. Sars. <em>Mémoires de la Société Entomologique de Belgique.</em> XII: 77-96.","Gilson, G.",1906,Recherches sur les deux Pseudocuma de la Mer Flamande: P. longicornis Spence Bate et P. similis G.-O. Sars,Mémoires de la Société Entomologique de Belgique,XII: 77-96,
"Ben-Eliahu, M.N. (1972). Contributions to the knowledge of Suez Canal migration. Polychaeta Errantia of the Suez Canal. <em>Israel Journal of Zoology.</em> 21(3-4): 189-237.","Ben-Eliahu, M.N.",1972,Contributions to the knowledge of Suez Canal migration. Polychaeta Errantia of the Suez Canal,Israel Journal of Zoology,21(3-4): 189-237,10.1080/00212210.1972.10688363
"Dautzenberg, P. & Bavay, A. (1904). Description d'un Amussium nouveau dragué par le Siboga dans la mer Celebes. <em>Journal de Conchyliologie.</em> 52: 207–211.","Dautzenberg, P. & Bavay, A.",1904,Description d'un Amussium nouveau dragué par le Siboga dans la mer Celebes,Journal de Conchyliologie,52: 207–211,
"Dayrat, B. (2001). Pleurobranchaeidae (Gastropoda, Opisthobranchia: Notaspidea) de grande profondeur de l'Indo-Pacifique: nouvelles données sur la répartition et description d'une espèce nouvelle = Indo-Pacific deep-water Pleurobranchaeidae (Gastropoda, Opisthobranchia: Notaspidea): New records and new species. <em>in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 185: 321-330.","Dayrat, B.",2001,"Pleurobranchaeidae (Gastropoda, Opisthobranchia: Notaspidea) de grande profondeur de l'Indo-Pacifique: nouvelles données sur la répartition et description d'une espèce nouvelle = Indo-Pacific deep-water Pleurobranchaeidae (Gastropoda, Opisthobranchia: Notaspidea): New records and new species","in: Bouchet, P. et al. (Ed.) Tropical deep-sea benthos. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",185: 321-330,
"Huys, R., P.M.J. Herman, C.H.R. Heip & K. Soetaert. (1992). The meiobenthos of the North sea: density, biomass trends and distribution of copepod communities. ICES (International Council for the Exploration of the Sea) Journal of Marine Science 49(1):23-44.","Huys, R., P.M.J. Herman, C.H.R. Heip & K. Soetaert",1992,"The meiobenthos of the North sea: density, biomass trends and distribution of copepod communities.",ICES (International Council for the Exploration of the Sea) Journal of Marine Science,49(1):23-44.,
"Smol, N., M. Vincx & G. De Smet. (1989). Studie van het meiobenthos van een dumpingsgebied van titaandioxide-afval in de Nederlandse kustwateren: periode 1988. University of  Gent, Ghent, Belgium 18 pp.","Smol, N., M. Vincx & G. De Smet",1989,Studie van het meiobenthos van een dumpingsgebied van titaandioxide-afval in de Nederlandse kustwateren: periode 1988.,"University of Gent, Ghent, Belgium",18 pp.,
"Mayhoub, M. H. (1976). Sur l'existence d'un <i>Derbesia</i> dans le cycle de l'<i>Halicystis boergesenii</i> Iyengar et Raman (Chlorophycées, Derbésiales). <em>Compte Rendu Hebdomadaire des Séances de l'Académie des Sciences. Paris. Série D.</em> 282: 707-710.","Mayhoub, M. H.",1976,"Sur l'existence d'un <i>Derbesia</i> dans le cycle de l'<i>Halicystis boergesenii</i> Iyengar et Raman (Chlorophycées, Derbésiales).",Compte Rendu Hebdomadaire des Séances de l'Académie des Sciences. Paris. Série D,282: 707-710,
